edad,estcivil,ingrmens,educacion,satlab,genero,familia
55,Casado,2496,Bachillerato incompleto,Muy satisfecho,Mujer,4
56,Soltero,3775,Bachillerato incompleto,Satisfecho,Hombre,1
28,Casado,1800,Universitario incompleto,Neutro,Mujer,3
24,Casado,1769,Universitario completo,Muy insatisfecho,Hombre,3
25,Soltero,1721,Bachillerato completo,Insatisfecho,Hombre,2
45,Casado,2559,Universitario incompleto,Insatisfecho,Hombre,2
42,Soltero,1990,Universitario incompleto,Insatisfecho,Hombre,1
35,Soltero,2259,Bachillerato completo,Muy insatisfecho,Mujer,1
46,Soltero,1737,Bachillerato incompleto,Muy satisfecho,Mujer,2
34,Casado,2764,Universitario incompleto,Satisfecho,Hombre,6
55,Casado,2496,Universitario incompleto,Neutro,Mujer,2
28,Soltero,1737,Universitario completo,Muy satisfecho,Hombre,1
31,Casado,1990,Universitario completo,Insatisfecho,Mujer,4
42,Soltero,3523,Universitario incompleto,Muy insatisfecho,Mujer,1
35,Soltero,2464,Universitario incompleto,Satisfecho,Hombre,3
52,Casado,3870,Universitario completo,Muy satisfecho,Hombre,2
21,Casado,1943,Universitario incompleto,Muy insatisfecho,Hombre,7
32,Soltero,1800,Bachillerato incompleto,Satisfecho,Mujer,2
42,Soltero,3080,Universitario incompleto,Neutro,Mujer,1
40,Casado,3207,Bachillerato completo,Muy satisfecho,Mujer,4
30,Soltero,1721,Bachillerato incompleto,Neutro,Hombre,1
48,Soltero,1690,Universitario incompleto,Neutro,Hombre,1
39,Casado,1627,Universitario completo,Neutro,Hombre,5
42,Casado,1895,Bachillerato completo,Neutro,Mujer,4
45,Casado,3175,Bachillerato incompleto,Satisfecho,Mujer,5
51,Casado,2101,Bachillerato incompleto,Neutro,Hombre,3
39,Casado,1879,Universitario incompleto,Muy insatisfecho,Hombre,4
49,Soltero,3491,Bachillerato completo,Muy satisfecho,Mujer,1
52,Soltero,5656,Bachillerato incompleto,Muy satisfecho,Hombre,1
53,Casado,2006,Bachillerato incompleto,Satisfecho,Hombre,2
34,Soltero,1674,Universitario incompleto,Muy insatisfecho,Mujer,1
47,Casado,1706,Universitario incompleto,Satisfecho,Hombre,2
58,Soltero,2306,Universitario completo,Muy insatisfecho,Hombre,1
25,Casado,2274,Universitario incompleto,Insatisfecho,Mujer,5
57,Casado,2812,Bachillerato completo,Muy satisfecho,Mujer,4
30,Casado,1690,Universitario completo,Muy insatisfecho,Hombre,2
21,Soltero,1563,Universitario incompleto,Muy insatisfecho,Mujer,2
24,Soltero,1737,Bachillerato completo,Neutro,Mujer,1
56,Soltero,4723,Universitario completo,Satisfecho,Mujer,1
24,Soltero,1658,Bachillerato completo,Neutro,Hombre,1
41,Soltero,2290,Universitario incompleto,Neutro,Hombre,1
57,Casado,9953,Bachillerato completo,Insatisfecho,Mujer,3
32,Soltero,1864,Bachillerato completo,Muy satisfecho,Hombre,6
24,Soltero,1911,Universitario completo,Insatisfecho,Hombre,1
49,Casado,1911,Bachillerato incompleto,Neutro,Hombre,3
21,Soltero,1706,Universitario incompleto,Muy insatisfecho,Mujer,2
33,Casado,1974,Bachillerato completo,Insatisfecho,Mujer,5
56,Soltero,3475,Bachillerato completo,Neutro,Hombre,1
54,Casado,2985,Bachillerato incompleto,Insatisfecho,Hombre,6
44,Casado,5150,Universitario completo,Neutro,Mujer,2
20,Soltero,1674,Bachillerato completo,Insatisfecho,Hombre,2
47,Soltero,3222,Bachillerato completo,Muy satisfecho,Hombre,1
48,Soltero,2590,Universitario completo,Satisfecho,Mujer,1
